continent,location,total_cases,new_cases,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population
North America,Honduras,127945,1002,99.573,325.251,0.894,,,,,,,,10062994
Asia,Hong Kong,9242,31,4.104,20.919,0.132,,,,,,,,7552800
Europe,Hungary,342237,1778,184.552,1105.234,9.757,,,,,,,,9634162
Europe,Iceland,5890,10,29.124,84.459,0,,,,,,,,343360
Asia,India,10466595,16311,11.706,108.482,0.116,,,,,,,,1393409033
Asia,Indonesia,828026,9640,34.882,87.309,0.659,,,,,,,,276361788
,International,721,0,,,,,,,,,,,
Asia,Iran,1286406,5968,70.188,660.612,0.835,,,,,,,,85028760
Asia,Iraq,602938,607,14.74,313.142,0.34,,,,,,,,41179351
Europe,Ireland,147613,6886,1381.925,470.408,1.605,52407,52402,11,4745,1.05,1.05,0,4982904
Asia,Israel,491319,5885,669.528,417.644,2.958,1934141,1928118,6023,43565,22,21.94,0.07,8789776
Europe,Italy,2276491,18625,308.527,1304.593,5.98,681981,681981,11,60839,1.13,1.13,0,60367471
North America,Jamaica,13548,93,31.277,104.928,0.336,,,,,,,,2973462
Asia,Japan,288818,6081,48.242,32.257,0.357,,,,,,,,126050796
Asia,Jordan,307209,1250,121.725,391.858,1.461,,,,,,,,10269022
Asia,Kazakhstan,209369,773,40.695,151.882,2.106,,,,,,,,18994958
Africa,Kenya,98271,87,1.582,31.099,0.109,,,,,,,,54985702
Europe,Kosovo,53776,512,288.389,775.609,5.069,,,,,,,,1775378
Asia,Kuwait,154314,414,95.644,217.856,0.231,,,,,,,,4328553
Asia,Kyrgyzstan,82273,135,20.367,206.537,0.302,,,,,,,,6628347
Asia,Laos,41,0,0,,,,,,,,,,7379358
Europe,Latvia,49568,616,329.953,454.756,16.605,7114,7105,10,337,0.38,0.38,0,1866934
Asia,Lebanon,219296,3743,552.95,237.253,2.364,,,,,,,,6769151
Africa,Lesotho,5937,734,339.962,39.369,0.463,,,,,,,,2159067
Africa,Liberia,1800,0,0,16.023,0,,,,,,,,5180208
Africa,Libya,104745,743,106.775,227.203,1.868,,,,,,,,6958538
Europe,Liechtenstein,2403,8,209.128,1307.053,0,6,6,,0,0.02,0.02,,38254
Europe,Lithuania,161741,1503,558.765,819.001,10.781,23574,23574,,2,0.88,0.88,,2689862
Europe,Luxembourg,47744,0,0,830.164,0,,,,,,,,634814
Africa,Madagascar,18001,234,8.232,9.392,0.176,,,,,,,,28427333
Africa,Malawi,8575,269,13.691,11.452,0.254,,,,,,,,19647681
Asia,Malaysia,135992,2433,74.231,16.811,0.275,,,,,,,,32776195
Asia,Maldives,14109,44,80.939,90.136,0,,,,,,,,543620
Africa,Mali,7600,35,1.678,14.289,0.144,,,,,,,,20855724
Europe,Malta,14396,184,357.584,452.811,1.943,,,,,,,,514564
Oceania,Marshall Islands,4,0,0,,,,,,,,,,59618
Africa,Mauritania,15512,83,17.382,80.417,0.209,,,,,,,,4775110
Africa,Mauritius,539,0,0,7.853,0,,,,,,,,1273428
North America,Mexico,1534039,10003,76.791,1026.437,3.854,81300,81300,,6506,0.06,0.06,,130262220
Europe,Moldova,149391,298,74.055,780.065,2.237,,,,,,,,4024025
Europe,Monaco,1057,4,101.215,101.215,0,,,,,,,,39520
Asia,Mongolia,1442,13,3.905,0.601,0,,,,,,,,3329282
Europe,Montenegro,52431,432,687.842,1154.365,6.369,,,,,,,,628051
Africa,Morocco,452532,895,23.966,207.338,0.91,,,,,,,,37344787
Africa,Mozambique,21939,578,17.971,5.97,0.155,,,,,,,,32163045
Asia,Myanmar,130604,555,10.127,51.929,0.365,,,,,,,,54806014
Africa,Namibia,28259,536,207.162,98.17,1.159,,,,,,,,2587344
Asia,Nepal,264780,259,8.728,64.6,0.168,,,,,,,,29674920
Europe,Netherlands,885098,6655,387.525,725.612,3.203,,,,,,,,17173094
Oceania,New Zealand,2222,3,0.617,5.143,0,,,,,,,,4860642
North America,Nicaragua,6097,0,0,24.767,0,,,,,,,,6702379
Africa,Niger,3877,58,2.308,5.014,0,,,,,,,,25130810
