location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population
Oceania,20/09/2020,29276,15,885,3,677.372,0.347,20.477,0.069,43219954
Oceania,21/09/2020,29306,30,888,3,678.066,0.694,20.546,0.069,43219954
Oceania,22/09/2020,29355,49,893,5,679.2,1.134,20.662,0.116,43219954
Oceania,23/09/2020,29366,11,895,2,679.455,0.255,20.708,0.046,43219954
Oceania,24/09/2020,29392,26,903,8,680.056,0.602,20.893,0.185,43219954
Oceania,25/09/2020,29411,19,904,1,680.496,0.44,20.916,0.023,43219954
Oceania,26/09/2020,29437,26,906,2,681.097,0.602,20.963,0.046,43219954
Oceania,27/09/2020,29441,4,909,3,681.19,0.093,21.032,0.069,43219954
Oceania,28/09/2020,29454,13,916,7,681.491,0.301,21.194,0.162,43219954
Oceania,29/09/2020,29480,26,920,4,682.092,0.602,21.286,0.093,43219954
Oceania,30/09/2020,29510,30,922,2,682.786,0.694,21.333,0.046,43219954
Oceania,1/10/2020,29528,18,924,2,683.203,0.416,21.379,0.046,43219954
Oceania,2/10/2020,29541,13,927,3,683.504,0.301,21.448,0.069,43219954
Oceania,3/10/2020,29561,20,928,1,683.966,0.463,21.472,0.023,43219954
Oceania,4/10/2020,29575,14,928,0,684.29,0.324,21.472,0,43219954
Oceania,5/10/2020,29603,28,929,1,684.938,0.648,21.495,0.023,43219954
Oceania,6/10/2020,29615,12,931,2,685.216,0.278,21.541,0.046,43219954
Oceania,7/10/2020,29643,28,931,0,685.864,0.648,21.541,0,43219954
Oceania,8/10/2020,29673,30,931,0,686.558,0.694,21.541,0,43219954
Oceania,9/10/2020,29695,22,931,0,687.067,0.509,21.541,0,43219954
Oceania,10/10/2020,29715,20,932,1,687.53,0.463,21.564,0.023,43219954
Oceania,11/10/2020,29742,27,932,0,688.154,0.625,21.564,0,43219954
Oceania,12/10/2020,29781,39,933,1,689.057,0.902,21.587,0.023,43219954
Oceania,13/10/2020,29810,29,938,5,689.728,0.671,21.703,0.116,43219954
